Nested Sampling Global Log-Evidence           :   -0.739074949931083012E+02  +/-    0.131383390509257986E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.739074949931083012E+02 +/-    0.131383390509257986E+00
Local Log-Evidence   -0.739074949931083012E+02 +/-    0.131383390509257986E+00

Dim No.       Mean        Sigma
   1    0.128436080327179843E+04    0.179068639516407814E+03
   2    0.200473729599109163E+01    0.318006817590083257E+00
   3   -0.642288246642357952E+00    0.529794471612838769E+00
   4    0.778216506350451720E+01    0.154536522151576960E+01
   5    0.321177877180197990E+01    0.138196553352660345E+01
   6   -0.194706133970984019E+01    0.197718644916385666E+01
   7   -0.868430527961261234E+01    0.325697219575099872E+01
   8    0.102931441417615721E+01    0.904193587617807548E-02
   9   -0.166618256635311912E+01    0.795002610585572977E+00
  10   -0.152140219413108291E+01    0.722442450588013707E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.153097284385488047E+04
   2    0.184730188559711017E+01
   3   -0.446634149633757804E-01
   4    0.614672863947504133E+01
   5    0.249399752034306399E+01
   6   -0.419076220393447940E+01
   7   -0.641376953703677088E+01
   8    0.101298990876779937E+01
   9   -0.807710899516663083E+00
  10   -0.130475694906914041E+01

MAP Parameters
Dim No.        Parameter
   1    0.153097284385488047E+04
   2    0.184730188559711017E+01
   3   -0.446634149633757804E-01
   4    0.614672863947504133E+01
   5    0.249399752034306399E+01
   6   -0.419076220393447940E+01
   7   -0.641376953703677088E+01
   8    0.101298990876779937E+01
   9   -0.807710899516663083E+00
  10   -0.130475694906914041E+01
