Nested Sampling Global Log-Evidence           :   -0.144994301676752201E+03  +/-    0.191678801322727771E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.144994301676752201E+03 +/-    0.191678801322727771E+00
Local Log-Evidence   -0.144994301676752201E+03 +/-    0.191678801322727771E+00

Dim No.       Mean        Sigma
   1    0.513153420724985608E+03    0.277005911486093268E+02
   2   -0.147736834026884245E+01    0.118080211039150867E+00
   3   -0.281174334626600197E+01    0.494099035801124353E+00
   4   -0.923660322341697615E+01    0.160313914042988470E+01
   5   -0.190275650904000426E+01    0.114685058903539680E+00
   6   -0.385044889865880009E+02    0.381524913049461478E+01
   7    0.902700248291244844E+00    0.427481802758768431E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.515921389542999691E+03
   2   -0.143209496105658651E+01
   3   -0.279504382087612413E+01
   4   -0.100706406595659015E+02
   5   -0.193158678363353431E+01
   6   -0.431034786927724980E+02
   7    0.902704388599256724E+00

MAP Parameters
Dim No.        Parameter
   1    0.515921389542999691E+03
   2   -0.143209496105658651E+01
   3   -0.279504382087612413E+01
   4   -0.100706406595659015E+02
   5   -0.193158678363353431E+01
   6   -0.431034786927724980E+02
   7    0.902704388599256724E+00
