Nested Sampling Global Log-Evidence           :    0.839603592491306586E+03  +/-    0.164401552229594961E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence    0.839603592491306586E+03 +/-    0.164401552229594961E+00
Local Log-Evidence    0.839603592491306586E+03 +/-    0.164401552229594961E+00

Dim No.       Mean        Sigma
   1    0.123258951774477896E+04    0.668956973069326324E+02
   2    0.202219298895794442E+01    0.396155369321857312E-01
   3   -0.102960655702826842E+01    0.450059763967481430E+00
   4    0.782999524997101481E+01    0.160821496943945674E+01
   5    0.331510948016359652E+01    0.150662783117520815E+01
   6   -0.199690528007115153E+01    0.202998639357546651E+01
   7   -0.902191252987152836E+01    0.333872371695757897E+01
   8    0.102731570890619950E+01    0.187620328335769181E-02
   9   -0.222986172323287324E+01    0.534907765354913578E+00
  10   -0.170495211555597326E+01    0.761365861886042716E+00
  11    0.156362587042055884E+04    0.727468149601046434E+02
  12   -0.121118930288785798E+01    0.442657676439029313E+00
  13    0.792315551501375470E+01    0.164954162666434678E+01
  14    0.330526492747689060E+01    0.148331734699799522E+01
  15   -0.209368756461471950E+01    0.202849554236752638E+01
  16   -0.898849411050616354E+01    0.334289305510645463E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.114710138349277281E+04
   2    0.200537440608196249E+01
   3   -0.491667506301763035E+00
   4    0.774654236995191781E+01
   5    0.350624842928812219E+01
   6    0.133028112939788379E+01
   7   -0.230651776452624446E+01
   8    0.102693311573686663E+01
   9   -0.152127913970513573E+01
  10   -0.591832051293401662E+00
  11    0.148517777447434628E+04
  12   -0.178420750017767449E+01
  13    0.661478291749612701E+01
  14    0.113888629262807139E+01
  15    0.369189270293447613E+00
  16   -0.454274060774002564E+01

MAP Parameters
Dim No.        Parameter
   1    0.114710138349277281E+04
   2    0.200537440608196249E+01
   3   -0.491667506301763035E+00
   4    0.774654236995191781E+01
   5    0.350624842928812219E+01
   6    0.133028112939788379E+01
   7   -0.230651776452624446E+01
   8    0.102693311573686663E+01
   9   -0.152127913970513573E+01
  10   -0.591832051293401662E+00
  11    0.148517777447434628E+04
  12   -0.178420750017767449E+01
  13    0.661478291749612701E+01
  14    0.113888629262807139E+01
  15    0.369189270293447613E+00
  16   -0.454274060774002564E+01
