    0.107741614264189047E+04    0.194903461744200435E+01   -0.245803675818069944E+00    0.986608772574477122E+01    0.368185752624314899E+01   -0.677198369629274488E+00   -0.104782705381249279E+02    0.102879271245611337E+01   -0.262892884530933513E+01   -0.292774908344781970E+01    0.157281822374407102E+04   -0.199749801338327471E+01    0.628499332508468811E+01    0.181655445022821560E+01   -0.282211139323332150E+01   -0.100118062459666781E+02    0.845420971411136179E+03
    0.142515591229184633E+04    0.218868449078234750E+01   -0.188458495730185360E+00    0.565698096373679604E+01    0.257050897900017494E+01   -0.647576719244949750E+00   -0.997134992925735020E+01    0.102654517248234622E+01   -0.871712111675165602E+00   -0.447288955264519394E+00    0.164734301442116362E+04   -0.433955889150407170E+00    0.551425082303299874E+01    0.121506551999410251E+01   -0.897397299566556228E+00   -0.977761489803170747E+01    0.846271219468075515E+03
    0.126826619768596834E+04    0.213736947575276481E+01   -0.346028359492881910E+00    0.687788809597156092E+01    0.509207435836284361E+01   -0.580675579958883947E+01   -0.105186473803515277E+02    0.102927010394332852E+01   -0.221301703658349513E+01   -0.182732361032362678E+01    0.162905402010285479E+04   -0.135940480004427133E+01    0.621746788498435521E+01    0.188251056922404891E+01   -0.387470621060494036E+01   -0.640735092095761338E+01    0.846411621477375661E+03
    0.133039403294083354E+04    0.221204639912238754E+01   -0.131059336336588572E+01    0.559150762104429155E+01    0.491731865276756075E+01   -0.127563477146809134E+01   -0.448287675263263097E+01    0.102974856030661077E+01   -0.232226418900544651E+01   -0.100005059446651190E+01    0.177334447657576925E+04   -0.287252812854589479E+00    0.101807951717239860E+02    0.371294565750730365E+01   -0.123326260365754781E+01   -0.788366935871414753E+01    0.846451814089306708E+03
    0.145506186516260323E+04    0.213201747466775782E+01   -0.100408923119118199E+01    0.891484374132971524E+01    0.309369826445814677E+01   -0.100407352074006528E+01   -0.402455835921462857E+01    0.102949904203770681E+01   -0.279402533955444143E+01   -0.243214234880482039E+01    0.164935917272479583E+04   -0.145003141549371795E+01    0.703108708727548670E+01    0.306461744762700539E+01   -0.112286609574577767E+01   -0.790488219988799301E+01    0.846464707199663849E+03
    0.124219733573150074E+04    0.209534432280918548E+01   -0.637427757092785097E+00    0.747662460235745918E+01    0.342785630027661803E+01   -0.469396442838922212E+01   -0.125210336845262766E+02    0.102813492703807752E+01   -0.162159833291515598E+01   -0.101120903165367571E+01    0.146110319031184440E+04   -0.271572161389637134E+00    0.830531274688799037E+01    0.373543235675964214E+01   -0.360259208921304586E+01   -0.137151681423760277E+02    0.846572444073930569E+03
    0.112361281392091246E+04    0.200157722705870889E+01   -0.118997861868491661E+01    0.653624945071307639E+01    0.348864272825688104E+01   -0.664336707440261520E+00   -0.962482244063942538E+01    0.102622334159299822E+01   -0.200432473463742555E+01   -0.220611564772343671E+01    0.157047661576326414E+04   -0.174539141505623485E+01    0.647957655438358415E+01    0.383662058249767934E+01   -0.819959075309708574E+00   -0.679177739617250786E+01    0.847480187690134471E+03
    0.114890976794457583E+04    0.192117549784557307E+01   -0.173704709227285337E+01    0.816975042706403443E+01    0.453744005129817918E+01   -0.193028201916505893E+01   -0.261299995337323132E+01    0.102552375613813984E+01   -0.186263279261449943E+01   -0.761439753927878549E+00    0.148487106159058840E+04   -0.122870561923149868E+01    0.993609952868113844E+01    0.292553288003991474E+01   -0.214589669041722608E+00   -0.111347539618284088E+02    0.847576650457240362E+03
    0.128049775069292832E+04    0.198132340575631627E+01   -0.742728055558864453E+00    0.548952135967065136E+01    0.530229616673568160E+00   -0.194037062404369642E+01   -0.337056037531552555E+01    0.102752414101505707E+01   -0.270439323536235632E+01   -0.139739841233782602E+01    0.151178874315621260E+04   -0.829516437795478012E+00    0.920951126536522402E+01    0.131076520559309118E+01   -0.509150782312510231E+01   -0.136311058667722449E+02    0.847604926728177134E+03
    0.123107218942667055E+04    0.204915066693216108E+01   -0.111682609100403929E+01    0.106612719478823657E+02    0.173370949481451997E+01   -0.188100752119020509E+01   -0.270301797112576381E+01    0.102409901581007912E+01   -0.182664488385348367E+01   -0.113301833879768354E+01    0.173199295453435161E+04   -0.175277752531970354E+01    0.558355878655099502E+01    0.189199680496832290E+01   -0.331884196659272357E+01   -0.128038886496901441E+02    0.847664013375615014E+03
    0.137175336671469040E+04    0.215669539815812072E+01   -0.918984933308383045E+00    0.700483009830638537E+01    0.516933353384885130E+01   -0.341770683269485831E+01   -0.659249656197634692E+01    0.102590590611722376E+01   -0.214031546558862740E+01   -0.263672798849566004E+01    0.184238107296137559E+04   -0.608341094187508702E+00    0.661648338772811151E+01    0.308923792759213311E+01   -0.400391614091799219E+01   -0.568552888688904545E+01    0.847708584092965680E+03
