    0.687756952020131280E+03   -0.658544134515752333E+00   -0.105988776817707873E+02   -0.574271499789474316E+01   -0.226555019676339597E+01   -0.393113140125808798E+02    0.106163405422338308E+01   -0.312173437697407223E+02
    0.408137940238760791E+03   -0.528741539250306225E+01   -0.721692004194327730E+01   -0.815222088220536278E+01   -0.384209280159534039E+01   -0.302886489654019968E+02    0.106104865149746730E+01   -0.295838040271692861E+02
    0.320395373907234330E+03   -0.623291511776106510E+01   -0.834562878330384450E+01   -0.881440766362449679E+01   -0.392556738185200160E+01   -0.337008867540057224E+02    0.106728746517181339E+01   -0.288587257612090013E+02
    0.751981975703413127E+03   -0.619265376043445670E+00   -0.575214338373260770E+01   -0.832760579113944033E+01   -0.164274782394383223E+01   -0.328283564254331921E+02    0.105973512246411961E+01   -0.275502043900420652E+02
    0.331154890355521047E+03   -0.534399777308257740E+01   -0.450890935388621905E+01   -0.102590290586021453E+02   -0.352511290338838990E+01   -0.326773889849629740E+02    0.106508440414989369E+01   -0.274551950831052167E+02
    0.345867470435970006E+03   -0.626276255407584870E+01   -0.429340488739223325E+01   -0.763381464175559543E+01   -0.387334649197183367E+01   -0.378157989608983343E+02    0.106514973229905463E+01   -0.274124943751669150E+02
    0.301225555838385333E+03   -0.588944684760229187E+01   -0.632783479803812021E+01   -0.789470096862766901E+01   -0.403935078475499409E+01   -0.435855768840337774E+02    0.106805016608468728E+01   -0.272010761189588628E+02
    0.338499683065988506E+03   -0.829580269597994047E+01   -0.464033568250648543E+01   -0.956775291070454159E+01   -0.367133389384736830E+01   -0.399321302696543370E+02    0.106577716145986656E+01   -0.268031144031939910E+02
    0.325645417443182737E+03   -0.358335530768206212E+01   -0.945207472437862251E+01   -0.766525857386540288E+01   -0.331207940915529342E+01   -0.309459215657750946E+02    0.106498258914621324E+01   -0.267795817457071124E+02
    0.462529203165631941E+03   -0.107221615356115798E+02   -0.784760229682363786E+01   -0.989309702460196760E+01   -0.392401356272890389E+01   -0.301281325606628165E+02    0.105870634258522456E+01   -0.267554150125729144E+02
    0.338460452613018560E+03   -0.704573328420051581E+01   -0.918316740772161033E+01   -0.103218515333298004E+02   -0.341237073722183304E+01   -0.302880466937550494E+02    0.106432938403101107E+01   -0.267152600582060025E+02
    0.323693560276873313E+03   -0.260232092417542304E+01   -0.907867360304713955E+01   -0.928856822656021386E+01   -0.369016030213470181E+01   -0.443546102400492970E+02    0.106560907227041679E+01   -0.266154580694005247E+02
    0.301804471024726922E+03   -0.205853751886454184E+01   -0.604053570245234805E+01   -0.855814542234213604E+01   -0.272307331949295950E+01   -0.424966041789350371E+02    0.106527448197205543E+01   -0.265920944237900230E+02
    0.773875560913890126E+03   -0.551461742037059111E+00   -0.111802230162792569E+02   -0.894230150620841080E+01   -0.178586997343142428E+01   -0.338554255982450414E+02    0.106069901428565982E+01   -0.264396206518568064E+02
    0.319039553027974193E+03   -0.217647172171553649E+01   -0.114882150254391515E+02   -0.909680741597966147E+01   -0.331188100872154934E+01   -0.357931528741088982E+02    0.106491606392278926E+01   -0.262835081008973752E+02
    0.321054333644049279E+03   -0.242635522077591403E+01   -0.101313779102698920E+02   -0.959107182939067116E+01   -0.315214331129388015E+01   -0.414085123778315989E+02    0.106443604885574317E+01   -0.262708986732825807E+02
    0.301914090417153432E+03   -0.435743078029658193E+01   -0.847916837769991005E+01   -0.108887057899084994E+02   -0.379430312345859377E+01   -0.425881274291837357E+02    0.106714946724220638E+01   -0.262556863986027018E+02
    0.303663166580357029E+03   -0.214785476025438271E+01   -0.771372007787308078E+01   -0.112242138726601759E+02   -0.331444361409343102E+01   -0.424386915550285835E+02    0.106572624241033331E+01   -0.262522782855916290E+02
    0.313020230740051375E+03   -0.488323917034703303E+01   -0.118253590966754096E+02   -0.991455050132037385E+01   -0.393342929432475152E+01   -0.410100935002508891E+02    0.106770477033347255E+01   -0.262306485198647650E+02
    0.346778894717420599E+03   -0.344675485141243598E+01   -0.468819235040729598E+01   -0.916557023669721360E+01   -0.355188937329169896E+01   -0.387913966757913258E+02    0.106438564967442240E+01   -0.261556647539116156E+02
    0.327531157744378959E+03   -0.379136645354978619E+01   -0.684604038956010097E+01   -0.942626698371056548E+01   -0.377449261183156359E+01   -0.309294069102064739E+02    0.106534351759065471E+01   -0.260949377724048119E+02
    0.300199532716382180E+03   -0.490352507854481345E+01   -0.726527057909691187E+01   -0.809819036865851416E+01   -0.384493237763084394E+01   -0.400897814151439746E+02    0.106822757369781884E+01   -0.260721758318672912E+02
    0.320951404601482352E+03   -0.280447857461846972E+01   -0.100116493557868704E+02   -0.107382854813301822E+02   -0.350923881613686994E+01   -0.320123133636588122E+02    0.106603728905389472E+01   -0.260191408537839877E+02
