

    0.176013755019463685E-98    0.499274108876371940E+03    0.489215358688118727E+03   -0.538499180089045737E+00   -0.106602503554191639E+02   -0.637988548751208118E+01   -0.918229324388931900E+00   -0.264956588353270064E+02    0.106907152415273732E+01
    0.338826052219914944E-98    0.497960259456592041E+03    0.702251244322825414E+03   -0.270460806419643340E+01   -0.344767564825183115E+01   -0.470545449649073344E+01   -0.680729563079180977E+00   -0.384127204065228298E+02    0.105639025139076370E+01
    0.377069104888215263E-98    0.497742376221898041E+03    0.427420073502859452E+03   -0.186350643597574717E+01   -0.162175027404599881E+01   -0.642562958625304237E+01   -0.408168501940926909E+01   -0.330846109099849528E+02    0.106549404525384106E+01
    0.126452863449013203E-97    0.495318323745850364E+03    0.319375336056259982E+03   -0.193578261850758082E+01   -0.795925442017752260E+01   -0.944822950043688792E+01   -0.452021355768789412E+01   -0.449098479018403793E+02    0.106564143821062052E+01
    0.143977897270570645E-97    0.495054743388154861E+03    0.440845436011523987E+03   -0.302686073084672103E+01   -0.781034706459320027E+01   -0.757085297375969901E+01   -0.280388220073295713E+01   -0.395923033113658818E+02    0.105797169291213633E+01
    0.428395387882599086E-97    0.492869969836187749E+03    0.335267983732998232E+03   -0.369544822774717829E+01   -0.969104672301932446E+01   -0.692627525278503775E+01   -0.140494751088468028E+01   -0.402130139230732198E+02    0.106007978108968737E+01
    0.504009747663589220E-97    0.492540871764418398E+03    0.407500861209632774E+03   -0.805175521242536973E+01   -0.207355443035262255E+01   -0.767510937639343815E+01   -0.430415367851913988E+01   -0.444783251294544044E+02    0.106330461030782120E+01
    0.908216283771973046E-97    0.491359097884944958E+03    0.311536115974224117E+03   -0.607790943589311983E+01   -0.451781987538160656E+01   -0.455835267002096423E+01   -0.219168200015496595E+01   -0.315740059156858166E+02    0.105998087659174955E+01
    0.111678279192856962E-96    0.490941648334359741E+03    0.424189248732927808E+03   -0.209051754301705728E+01   -0.260260206211596667E+01   -0.819317906928559481E+01   -0.215374698804606446E+01   -0.439247012334696336E+02    0.105904522147347890E+01
    0.157408700273987315E-96    0.490251201576632184E+03    0.345774439963032250E+03   -0.127034784585829286E+01   -0.117498848156376905E+02   -0.634620508842220854E+01   -0.495773416017892377E+01   -0.322262004882326281E+02    0.107034006705239704E+01
