Nested Sampling Global Log-Evidence           :   -0.571420316446761163E+02  +/-    0.174611240549404023E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.571420316446761163E+02 +/-    0.174611240549404023E+00
Local Log-Evidence   -0.571420316446761163E+02 +/-    0.174611240549404023E+00

Dim No.       Mean        Sigma
   1    0.340273294156479267E+03    0.321090583642027667E+02
   2    0.326502430530249743E+00    0.427324700724823869E+00
   3   -0.167346536454618250E+00    0.192656695072339956E+00
   4    0.874844324693845543E+01    0.120880047316172123E+01
   5    0.366570496147923786E+01    0.126377337046066551E+01
   6   -0.159037210169739529E+01    0.595288848245436708E+00
   7   -0.375381231918789338E+01    0.102851444847747664E+01
   8    0.901308863791362991E+00    0.131496591645948770E-02
   9   -0.143358242624367471E+01    0.192586887214294067E+01
  10   -0.364194491005753607E+01    0.790758313478035713E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.308821433894955703E+03
   2    0.520087676810897293E+00
   3   -0.178719141229006340E+00
   4    0.967772259447470162E+01
   5    0.450458792921605244E+01
   6   -0.220986077193312713E+01
   7   -0.419880406089228231E+01
   8    0.901505036948971217E+00
   9   -0.446511717327460822E+01
  10   -0.446255351691257118E+01

MAP Parameters
Dim No.        Parameter
   1    0.308821433894955703E+03
   2    0.520087676810897293E+00
   3   -0.178719141229006340E+00
   4    0.967772259447470162E+01
   5    0.450458792921605244E+01
   6   -0.220986077193312713E+01
   7   -0.419880406089228231E+01
   8    0.901505036948971217E+00
   9   -0.446511717327460822E+01
  10   -0.446255351691257118E+01
