    0.634716784954071045E+03   -0.188148093223571777E+01   -0.194927215576171875E+00   -0.107613565921783447E+02   -0.110793213844299316E+02   -0.272961127758026123E+02    0.106528079509735107E+01    0.424399158193054463-313
    0.127548713088035583E+04   -0.118228933811187744E+02   -0.456147766113281250E+01   -0.115233628749847412E+02   -0.544817805290222168E+01   -0.309500122070312500E+02    0.657950460910797119E+00    0.424399158193054463-313
    0.168257784843444824E+03   -0.366729497909545898E+01   -0.576624584197998047E+01   -0.109532897472381592E+02   -0.595968747138977051E+01   -0.392701625823974609E+02    0.137884551286697388E+01    0.424399158193054463-313
    0.424283933639526367E+03   -0.143223166465759277E+01   -0.700272488594055176E+01   -0.391513252258300781E+01   -0.110652379989624023E+02   -0.414638900756835938E+02    0.812767505645751953E+00    0.424399158193054463-313
    0.101828149557113647E+04   -0.370010232925415039E+01   -0.586526727676391602E+01   -0.764202976226806641E+01   -0.654085278511047363E+01   -0.435453963279724121E+02    0.605030179023742676E+00    0.424399158193054463-313
    0.638363963365554810E+03   -0.972112798690795898E+01   -0.852714943885803223E+01   -0.104127531051635742E+02   -0.421812129020690918E+01   -0.412039065361022949E+02    0.968187391757965088E+00    0.424399158193054463-313
    0.738981127738952637E+03   -0.284285330772399902E+01   -0.102934377193450928E+02   -0.793304872512817383E+01   -0.119539446830749512E+02   -0.303811728954315186E+02    0.773071110248565674E+00    0.424399158193054463-313
    0.107284534573554993E+04   -0.116229751110076904E+02   -0.241585278511047363E+01   -0.567668008804321289E+01   -0.605668473243713379E+01   -0.364176261425018311E+02    0.596829295158386230E+00    0.424399158193054463-313
    0.407004201412200928E+03   -0.980381369590759277E+01   -0.312408471107482910E+01   -0.870276689529418945E+01   -0.104715085029602051E+01   -0.289101386070251465E+02    0.622827112674713135E+00    0.424399158193054463-313
    0.131384541392326355E+04   -0.526126813888549805E+01   -0.284525156021118164E+01   -0.904558825492858887E+01   -0.114330790042877197E+02   -0.259255027770996094E+02    0.143136578798294067E+01    0.424399158193054463-313
    0.127134290337562561E+04   -0.588690805435180664E+01   -0.928300666809082031E+01   -0.102676427364349365E+02   -0.804803824424743652E+01   -0.403529810905456543E+02    0.114992725849151611E+01    0.695312536858624169-309
    0.196695897579193115E+04   -0.841674113273620605E+01   -0.199286270141601562E+01   -0.107305169105529785E+02   -0.605276441574096680E+01   -0.445249783992767334E+02    0.117796510457992554E+01    0.695312536858624169-309
    0.130840097665786743E+04   -0.705606937408447266E+00   -0.839083385467529297E+01   -0.145804810523986816E+01   -0.870785236358642578E+00   -0.297876572608947754E+02    0.127781486511230469E+01    0.695312536858624169-309
    0.154850977659225464E+04   -0.805162453651428223E+01   -0.946784162521362305E+01   -0.536292457580566406E+01   -0.881237983703613281E-01   -0.337703990936279297E+02    0.110803890228271484E+01    0.695312536858624169-309
    0.906963562965393066E+03   -0.554170274734497070E+01   -0.824584007263183594E+01   -0.196678733825683594E+01   -0.105220277309417725E+02   -0.335129284858703613E+02    0.691055238246917725E+00    0.695312536858624169-309
    0.720118516683578491E+03   -0.636261320114135742E+01   -0.100693016052246094E+02   -0.935557150840759277E+01   -0.701351523399353027E+01   -0.251091670989990234E+02    0.512754857540130615E+00    0.695312536858624169-309
