Nested Sampling Global Log-Evidence           :   -0.261020213572876898E+02  +/-    0.158894718205798174E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.261020213572876898E+02 +/-    0.158894718205798174E+00
Local Log-Evidence   -0.261020213572876898E+02 +/-    0.158894718205798174E+00

Dim No.       Mean        Sigma
   1    0.120421541789600155E+04    0.114025481104486119E+03
   2    0.201948203900416612E+01    0.420896825483219258E-01
   3   -0.104242125420912934E+01    0.447165180760535574E+00
   4    0.801121151484244187E+01    0.161729626147782835E+01
   5    0.335457034415792554E+01    0.144554556240201038E+01
   6   -0.206428260290096155E+01    0.203205877197555385E+01
   7   -0.916595564062597923E+01    0.319955513252125945E+01
   8    0.102684650793946308E+01    0.236195600249130677E-02
   9   -0.218734184625584227E+01    0.511858149062870860E+00
  10   -0.171338862954215365E+01    0.688406210916094885E+00
  11    0.158659104983338261E+04    0.992526172343710016E+02
  12   -0.117440073954056512E+01    0.452057342374046878E+00
  13    0.786003243537349316E+01    0.161773665756782425E+01
  14    0.329847467147090523E+01    0.146074446469788710E+01
  15   -0.200845519949054419E+01    0.200494662181658034E+01
  16   -0.900738464205563005E+01    0.330847500494227997E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.100878236303255369E+04
   2    0.198733529877929893E+01
   3   -0.463345456846267600E+00
   4    0.777963781847464464E+01
   5    0.192914730266791690E+01
   6   -0.928110295122184681E+00
   7   -0.143958190224209339E+02
   8    0.102272692299459167E+01
   9   -0.130782993426689398E+01
  10   -0.118219597297316525E+01
  11    0.166638678039806882E+04
  12   -0.152840433678648746E+01
  13    0.732160466753158889E+01
  14    0.311528193281734955E+01
  15   -0.374719606495686808E+01
  16   -0.986848444878421738E+01

MAP Parameters
Dim No.        Parameter
   1    0.100878236303255369E+04
   2    0.198733529877929893E+01
   3   -0.463345456846267600E+00
   4    0.777963781847464464E+01
   5    0.192914730266791690E+01
   6   -0.928110295122184681E+00
   7   -0.143958190224209339E+02
   8    0.102272692299459167E+01
   9   -0.130782993426689398E+01
  10   -0.118219597297316525E+01
  11    0.166638678039806882E+04
  12   -0.152840433678648746E+01
  13    0.732160466753158889E+01
  14    0.311528193281734955E+01
  15   -0.374719606495686808E+01
  16   -0.986848444878421738E+01
