

    0.142883624454386779E-98    0.481392955668004618E+03    0.129250527635750223E+04    0.183983817466207134E+01   -0.108889503750374361E+01    0.716257703838594839E+01    0.160773851715570126E+01   -0.137401252510801708E+01   -0.667405318356264843E+01    0.999520994318246148E+00   -0.619923717398883856E+00   -0.144387129470618270E+01    0.177040717374851374E+04   -0.130858147204345299E+01    0.851738241901387561E+01    0.406715055899401356E+01   -0.456075284074926746E+01   -0.946538015528496501E+01
    0.300414628509602437E-98    0.479902689404913531E+03    0.177473157600230684E+04    0.231338741523856850E+01   -0.717207675378186194E+00    0.533807358090980077E+01    0.178030699430072503E+01   -0.439217378979343831E+01   -0.501924930922389301E+01    0.102507525363924001E+01   -0.226323873622466998E+01   -0.185875624437401776E+01    0.193553000448113539E+04   -0.903962019922894822E+00    0.756851273243781719E+01    0.235979060185246148E+01   -0.545756850119499859E+01   -0.120415994609968582E+02
    0.359685251041455606E-98    0.479538557943137448E+03    0.112935566592421424E+04    0.196153421309852583E+01   -0.571031732647620416E+00    0.590219278461017360E+01    0.331845275248581384E+01   -0.274807667264985911E+01   -0.905475597516884889E+01    0.101849266464001809E+01   -0.268314859799667493E+01   -0.144448159706214074E+01    0.210883932190952510E+04   -0.113815253033827268E+01    0.100804389919495083E+02    0.352810355111063068E+01    0.749522634623305706E+00   -0.988061535896421361E+01
    0.569084606317022791E-98    0.478616958403716239E+03    0.116881432511850699E+04    0.235325047387910491E+01   -0.248715361287551673E+00    0.886050164795055295E+01    0.382528154345444094E+01   -0.251084947403994718E+01   -0.127906441732625709E+02    0.101578013814092527E+01   -0.892163275323731408E+00   -0.214166899776128306E+01    0.196905069325387376E+04   -0.146308816087179938E+00    0.948374780240488846E+01    0.353164458397569891E+01   -0.371836677328757625E+01   -0.146921146193196837E+02
    0.675800836605877626E-98    0.478269219811404867E+03    0.193029604040103959E+04    0.283579015749436714E+01   -0.266638215437907444E+00    0.896591119477176690E+01    0.297583502088333818E+01    0.698127193793778744E+00   -0.960823993368474305E+01    0.103700887058351499E+01   -0.250647025586957017E+01   -0.177725727609705997E+01    0.238869252532068276E+04   -0.327839994544791846E+00    0.857575452085239753E+01    0.313544544142925119E+01   -0.468656204887090588E+00   -0.449956717483246749E+01
    0.744757463964535941E-98    0.478070899408560194E+03    0.100423587109899779E+04    0.148148121273794420E+01   -0.875217688937903748E+00    0.740685754380708072E+01    0.411214251417949939E+01   -0.422256291322515409E+01   -0.738850223047453802E+01    0.995057480250797433E+00   -0.720855362102589936E+00   -0.198851353036214795E+01    0.150541838638463923E+04   -0.176114863825003676E+01    0.102009483998528268E+02    0.456537837600067764E+01   -0.286220681527643839E+01   -0.102305020824312649E+02
    0.794350689380161438E-98    0.477937966559821291E+03    0.127984676412386193E+04    0.264413073702061130E+01   -0.103145387576540903E+01    0.682439839630163370E+01    0.593019119781452164E+00   -0.649679149797050215E+00   -0.381598294639459290E+01    0.103719965427609262E+01   -0.528985745188774725E+00   -0.317236248611843852E+00    0.185491478720484929E+04   -0.290459556340140201E+00    0.107489735868751115E+02    0.324882476199737891E+01    0.408347330037766909E+00   -0.573528241739301770E+01
    0.817387328212461136E-98    0.477876790498949163E+03    0.108355644556084872E+04    0.238475396947914398E+01   -0.907379443172066091E+00    0.100866734250577217E+02    0.550888474827060937E+00   -0.730533619995847872E-01   -0.620475370177108054E+01    0.103232108430618363E+01   -0.152583618206984961E+01   -0.147698101417302041E+01    0.163482584693838476E+04   -0.562878500181163810E+00    0.726971002808869127E+01    0.312174497705552589E+01   -0.241452738448063675E+01   -0.116538726075707206E+02
    0.169484413342993133E-97    0.476414324518045873E+03    0.122904440196851738E+04    0.133634249929923854E+01   -0.200381488173657640E-01    0.945223883708085744E+01    0.284769660282306791E+01   -0.245767952252487465E+01   -0.667674690983767327E+01    0.101647103877561884E+01   -0.178419714062055412E+01   -0.251426406347985187E+01    0.140135149450786457E+04   -0.139749323910633549E+00    0.986038165620520424E+01    0.483988340310246201E+01   -0.144390361105795595E+01   -0.102007766719261053E+02
    0.252825680895639892E-97    0.475610445964004157E+03    0.177715217072453879E+04    0.259133371991858841E+01   -0.238234132050050285E-01    0.784900449771876030E+01    0.562983621051274508E+01   -0.250993386957967068E+01   -0.104353379844092338E+02    0.103424414688991106E+01   -0.267563037117226044E+01   -0.174934516584792776E+01    0.223373480467492936E+04   -0.203347323163963534E+00    0.969074913839410712E+01    0.328506922319718742E+01   -0.709675849223022404E+00   -0.481114082580797664E+01
    0.556558397277704569E-97    0.474028302246038209E+03    0.114418039768821359E+04    0.185621237710889586E+01   -0.115805280685340461E+01    0.103882648696471680E+02    0.491180934175365458E+01    0.358212599697051992E+00   -0.100522116099210219E+02    0.102655608229563855E+01   -0.140898301332875553E+01   -0.183533279371031810E+00    0.144595416050482959E+04   -0.348768804700066326E+00    0.806813979689917993E+01    0.287596391375677118E+01   -0.508026425131657078E+00   -0.125021120794401384E+02
    0.862737023727439924E-97    0.473147626607331688E+03    0.118255809737158324E+04    0.266669180612889800E+00   -0.128782270096747897E+01    0.640984051626215656E+01    0.313668255891404124E+01   -0.574749178002555006E+01   -0.123107281156096153E+02    0.998158847793061854E+00   -0.219916695025671149E+01   -0.225212423000254303E+01    0.140750723105479369E+04   -0.137838117022185402E+00    0.104608904749056073E+02    0.717093591031082722E+00   -0.461665911794673356E+01   -0.303396981142621058E+01
    0.890507771594828098E-97    0.473080262790038034E+03    0.169336117133795551E+04    0.231651521466259425E+01   -0.135185375561369625E+01    0.642598776554218976E+01    0.104577565971788866E+01   -0.654726069928588394E+00   -0.118392019476863446E+02    0.102810485051987044E+01   -0.230270218163364637E+01   -0.254375403369908337E+01    0.199428459573000328E+04   -0.551659469226519761E-01    0.737748636287700688E+01    0.545388874488324404E+01   -0.537145590673249540E+01   -0.966391753017738964E+01
