Nested Sampling Global Log-Evidence           :   -0.144383927360439458E+03  +/-    0.159437634014149787E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.144383927360439458E+03 +/-    0.159437634014149787E+00
Local Log-Evidence   -0.144383927360439458E+03 +/-    0.159437634014149787E+00

Dim No.       Mean        Sigma
   1    0.454968035016039209E+03    0.339709765206798053E+02
   2    0.110618393467592924E+01    0.217385802357585561E+00
   3   -0.736814393137036006E+00    0.130504485979935830E+00
   4    0.802472008745629140E+01    0.167482184173321791E+01
   5    0.328885459013389481E+01    0.149597220397885522E+01
   6   -0.243533089605592279E+01    0.222305516702699224E+01
   7   -0.100379198850627311E+02    0.303250518680041425E+01
   8    0.904212262475011075E+00    0.543214449463981204E-03
   9   -0.740282224620355311E+00    0.171706560354724402E+01
  10   -0.368239554346565567E+01    0.825248640829131519E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.444465593774292472E+03
   2    0.102481686858413035E+01
   3   -0.751852566401387312E+00
   4    0.790162296243205464E+01
   5    0.361727672825123570E+01
   6   -0.553356871640129544E+01
   7   -0.657290578239760315E+01
   8    0.904192497306037124E+00
   9    0.170376652541715590E+01
  10   -0.425338483909558462E+01

MAP Parameters
Dim No.        Parameter
   1    0.444465593774292472E+03
   2    0.102481686858413035E+01
   3   -0.751852566401387312E+00
   4    0.790162296243205464E+01
   5    0.361727672825123570E+01
   6   -0.553356871640129544E+01
   7   -0.657290578239760315E+01
   8    0.904192497306037124E+00
   9    0.170376652541715590E+01
  10   -0.425338483909558462E+01
