Nested Sampling Global Log-Evidence           :   -0.486424864107804211E+02  +/-    0.170277146420372893E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.486424864107804211E+02 +/-    0.170277146420372893E+00
Local Log-Evidence   -0.486424864107804211E+02 +/-    0.170277146420372893E+00

Dim No.       Mean        Sigma
   1    0.115006925338903829E+04    0.858572039850286757E+02
   2    0.202170725437702492E+01    0.517251186605933930E-01
   3   -0.528338909714315630E+00    0.267159256311353233E+00
   4    0.771875716102323750E+01    0.145454400370134995E+01
   5    0.312497004149521906E+01    0.145325720605558173E+01
   6   -0.198122420997019510E+01    0.164074071621012885E+01
   7   -0.693828840608952291E+01    0.342600381153677702E+01
   8    0.103082921850089382E+01    0.283833508792667765E-02
   9   -0.196337404464430354E+01    0.603665224710966064E+00
  10   -0.165826171102230679E+01    0.658303874180695137E+00
  11    0.145113523860788564E+04    0.886903602756414386E+02
  12   -0.767694703532928902E+00    0.406176614739959696E+00
  13    0.789852848420663367E+01    0.156022744995260365E+01
  14    0.324474770369697429E+01    0.143343150658066865E+01
  15   -0.203534047026596188E+01    0.190575836791830611E+01
  16   -0.870222546575667799E+01    0.337624480257961279E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.100359617248811833E+04
   2    0.191788258049352667E+01
   3   -0.304671250254403336E+00
   4    0.575107209730585200E+01
   5    0.509905944719759852E+01
   6   -0.254291908683870815E+01
   7   -0.302049607500134698E+01
   8    0.103154935207363407E+01
   9   -0.250444742450600621E+01
  10   -0.188797637415111463E+01
  11    0.151314512500004707E+04
  12   -0.679127416955608965E+00
  13    0.790568684538642508E+01
  14    0.366325878412626604E+01
  15   -0.552852377319092803E+01
  16   -0.123136851874422444E+02

MAP Parameters
Dim No.        Parameter
   1    0.100359617248811833E+04
   2    0.191788258049352667E+01
   3   -0.304671250254403336E+00
   4    0.575107209730585200E+01
   5    0.509905944719759852E+01
   6   -0.254291908683870815E+01
   7   -0.302049607500134698E+01
   8    0.103154935207363407E+01
   9   -0.250444742450600621E+01
  10   -0.188797637415111463E+01
  11    0.151314512500004707E+04
  12   -0.679127416955608965E+00
  13    0.790568684538642508E+01
  14    0.366325878412626604E+01
  15   -0.552852377319092803E+01
  16   -0.123136851874422444E+02
