Nested Sampling Global Log-Evidence           :    0.793708408537300556E+03  +/-    0.150500428394899383E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence    0.793708408537300556E+03 +/-    0.150500428394899383E+00
Local Log-Evidence    0.793708408537300556E+03 +/-    0.150500428394899383E+00

Dim No.       Mean        Sigma
   1    0.180541485867639381E+04    0.205142473577364086E+03
   2    0.219530414684313468E+01    0.103292666600472371E+00
   3   -0.118973452891585296E+01    0.455602664165038806E+00
   4    0.796919867413409388E+01    0.161940850989807705E+01
   5    0.325629978996161951E+01    0.145949109345115846E+01
   6   -0.225568356108569246E+01    0.203399551253990962E+01
   7   -0.860366733194539712E+01    0.348415332345956141E+01
   8    0.102466289389471998E+01    0.371312992093529495E-02
   9   -0.217463987735652253E+01    0.655743258926703931E+00
  10   -0.143378683533588158E+01    0.795814934233224247E+00
  11    0.208172056848096463E+04    0.207722366358267266E+03
  12   -0.120089973572179143E+01    0.472042967338319630E+00
  13    0.786347448943462535E+01    0.158846692066987649E+01
  14    0.326511439881623566E+01    0.150338886565934149E+01
  15   -0.223066896699631156E+01    0.200366472057163225E+01
  16   -0.844608948618855138E+01    0.355570131805955825E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.172662961848973441E+04
   2    0.205003740269165924E+01
   3   -0.172267883951709511E+01
   4    0.961511062831785068E+01
   5    0.561691354212357652E+01
   6   -0.263879328923760426E+00
   7   -0.417984163079397497E+01
   8    0.102097628749655023E+01
   9   -0.219390088139046036E+01
  10   -0.241932237396216543E+01
  11    0.192955866406344603E+04
  12   -0.239090283880410981E+00
  13    0.845266121392494085E+01
  14    0.143765223271874021E+01
  15   -0.173930284979034600E+01
  16   -0.337248280566616643E+01

MAP Parameters
Dim No.        Parameter
   1    0.172662961848973441E+04
   2    0.205003740269165924E+01
   3   -0.172267883951709511E+01
   4    0.961511062831785068E+01
   5    0.561691354212357652E+01
   6   -0.263879328923760426E+00
   7   -0.417984163079397497E+01
   8    0.102097628749655023E+01
   9   -0.219390088139046036E+01
  10   -0.241932237396216543E+01
  11    0.192955866406344603E+04
  12   -0.239090283880410981E+00
  13    0.845266121392494085E+01
  14    0.143765223271874021E+01
  15   -0.173930284979034600E+01
  16   -0.337248280566616643E+01
