

    0.257871920047129604E-98    0.516701232655894160E+03    0.507087312380731078E+03   -0.225189390345654106E+00    0.857680632382384900E-01    0.914976632211199714E+01    0.334318304519531839E+01    0.316437110706175417E+00   -0.937163296378779442E+01    0.899566272055305038E+00   -0.292315132242420006E+00   -0.494626261433784720E+01
    0.325838153062483083E-98    0.516229357121178282E+03    0.551711356418762762E+03    0.203254914871299874E+00   -0.571626372755564827E+00    0.991238498113064992E+01    0.287728065264981225E+01    0.963624140115296512E+00   -0.654048797318416675E+01    0.898783449052847683E+00    0.661113394146970457E+00   -0.227062711561366370E+01
    0.384885030922974490E-98    0.515892269373932777E+03    0.347999819976705226E+03   -0.161319432111260541E+00   -0.148189165338458873E+01    0.870929323282875245E+01    0.201465500278649534E+01   -0.345675421653356318E+01   -0.726982617742366344E+01    0.906316955838743721E+00   -0.299693080285982116E+01    0.186978954011136178E+01
    0.810352324070057645E-98    0.514399220469191391E+03    0.531401751651115546E+03   -0.989531357562294156E+00   -0.993127246269656316E+00    0.978630115463422356E+01    0.230726722049419086E+01    0.133970949644275628E+01   -0.997987243683186875E+01    0.904773254488740797E+00    0.210386109148068101E+00   -0.561368773922932718E+00
    0.985398767950077398E-98    0.514004065911748171E+03    0.434059216522257884E+03    0.194046635019875069E+01   -0.163831811478589850E+01    0.771924433572699087E+01    0.491738010689540239E+01    0.205990268085018968E-01   -0.621942416327665271E+01    0.903326262173897332E+00   -0.237164046569034470E+01   -0.307378634628444791E+01
    0.190328046366781039E-97    0.512683490238980198E+03    0.435011473401533635E+03    0.231066404035982931E+01   -0.737605648044988849E+00    0.944420780145580352E+01    0.345990838862932826E+01   -0.127849610963448690E+01   -0.218423774957510020E+01    0.911427561299061328E+00   -0.384202042069301175E+01    0.159106144303756381E+01
    0.401410821222186438E-97    0.511187017735971665E+03    0.530930655150917346E+03    0.975851137273862079E+00   -0.134351894458506504E+01    0.100807743440552233E+02    0.316140168125402088E+01   -0.581773585675453209E+01   -0.734430621789457660E+01    0.900123261038181521E+00   -0.296310772720202298E+01   -0.324072521674740832E+01
    0.501953829273604080E-97    0.510735972241562706E+03    0.489813922325364615E+03   -0.821492935426226367E+00   -0.533221758020567815E-01    0.508113262462195081E+01    0.564357828501438608E+01   -0.286328378419167828E+01   -0.987461521514129359E+01    0.903627888996558992E+00   -0.549139652934306888E+00   -0.728025848887943638E+00
    0.829233558138669517E-97    0.509727984824883890E+03    0.371049531060183597E+03    0.384749218417354211E+00   -0.663158057473375528E+00    0.101325103653509743E+02    0.122972032071555804E+01   -0.506045949434820841E+00   -0.593139938742717909E+01    0.899540534273411074E+00   -0.424957483548288106E+01    0.393459844323269969E+00
    0.343014072861435202E-96    0.506884275389231789E+03    0.478112035826518024E+03   -0.739944705449371298E-01    0.964981541486649164E-01    0.103642694853140149E+02    0.382857762478086672E+01   -0.415757306281879302E+01   -0.526714933873488000E+01    0.899703675724296215E+00    0.193185427383853359E+00    0.138487452167456837E+00
