#w (um) 	 lightcurve precision (ppm)
0.65789 	 275.5
0.70379 	 234.0
0.74969 	 238.8
0.79559 	 275.5
0.84150 	 333.4
0.88739 	 391.1
0.93329 	 473.6
#0.97805 	 603.8
