#leff   lmin    lmax    u1      e1      u2      e2
0.649	0.644	0.654	0.288	0.014	0.301	0.019
0.66	0.6553	0.6655	0.266	0.015	0.309	0.019
0.672	0.6665	0.677	0.293	0.014	0.289	0.018
0.683	0.678	0.688	0.29	0.014	0.285	0.018
0.6943	0.6895	0.699	0.284	0.014	0.284	0.018
0.7056	0.7007	0.711	0.279	0.014	0.281	0.018
0.7173	0.712	0.722	0.272	0.014	0.28	0.018
0.7285	0.7236	0.7334	0.267	0.014	0.281	0.018
0.7397	0.735	0.745	0.26	0.014	0.278	0.018
0.751	0.746	0.7563	0.255	0.014	0.279	0.018
0.7627	0.7573	0.7676	0.25	0.014	0.278	0.018
0.774	0.769	0.779	0.243	0.014	0.278	0.018
0.785	0.7803	0.7905	0.24	0.014	0.276	0.018
0.797	0.7915	0.802	0.234	0.014	0.277	0.018
0.808	0.8027	0.813	0.232	0.014	0.275	0.017
0.8193	0.8145	0.824	0.225	0.013	0.274	0.017
0.8306	0.8257	0.836	0.222	0.013	0.275	0.017
0.8423	0.837	0.847	0.215	0.013	0.273	0.017
0.8535	0.8486	0.8584	0.202	0.013	0.276	0.017
0.8647	0.86	0.87	0.202	0.013	0.273	0.017
0.876	0.871	0.8813	0.204	0.013	0.277	0.017
0.8877	0.8823	0.8926	0.194	0.013	0.268	0.017
0.899	0.894	0.904	0.192	0.013	0.271	0.017
0.91	0.9053	0.9155	0.214	0.013	0.258	0.017
0.922	0.9165	0.927	0.187	0.013	0.27	0.017
0.933	0.9277	0.938	0.214	0.013	0.256	0.017
0.9443	0.9395	0.949	0.209	0.013	0.252	0.017
0.9556	0.9507	0.961	0.163	0.014	0.27	0.018
0.9673	0.962	0.972	0.207	0.013	0.252	0.017
0.9785	0.9736	0.9834	0.207	0.013	0.25	0.017
0.9897	0.985	0.9946	0.201	0.013	0.252	0.017
1.001	0.996	1.006	0.185	0.013	0.262	0.017
1.013	1.008	1.018	0.177	0.014	0.261	0.018
1.023	1.019	1.029	0.194	0.014	0.251	0.018
1.035	1.03	1.04	0.193	0.014	0.25	0.017
1.047	1.042	1.052	0.186	0.014	0.251	0.017
1.058	1.053	1.063	0.185	0.014	0.251	0.018
1.069	1.064	1.074	0.18	0.014	0.251	0.018
1.081	1.075	1.086	0.177	0.013	0.251	0.017
1.092	1.087	1.097	0.14	0.014	0.267	0.018
1.104	1.099	1.108	0.152	0.014	0.263	0.018
1.115	1.109	1.12	0.172	0.014	0.254	0.018
1.126	1.121	1.131	0.168	0.014	0.252	0.018
1.138	1.133	1.143	0.164	0.014	0.251	0.018
1.148	1.144	1.154	0.164	0.014	0.252	0.018
1.16	1.155	1.165	0.161	0.015	0.253	0.019
1.172	1.167	1.177	0.155	0.015	0.254	0.019
1.183	1.178	1.188	0.153	0.015	0.254	0.019
1.194	1.189	1.199	0.153	0.015	0.257	0.019
1.206	1.2	1.211	0.15	0.015	0.256	0.02
