#wav 	 bestfit 	 low1sig 	 up1sig 	 low2sig 	 up2sig 
3.0971780758 0.0096707849 0.0096673996 0.0096741550 0.0096650654 0.0096765183
3.0665129463 0.0096477771 0.0096444942 0.0096509555 0.0096420961 0.0096535331
3.0361514320 0.0096369065 0.0096335916 0.0096412175 0.0096310064 0.0096439155
3.0060905267 0.0096410381 0.0096345325 0.0096499448 0.0096297264 0.0096558995
2.9763272542 0.0096317750 0.0096282742 0.0096373059 0.0096240211 0.0096410707
2.9468586675 0.0096313761 0.0096275583 0.0096378410 0.0096224327 0.0096420369
2.9176818490 0.0096370331 0.0096322567 0.0096442397 0.0096271326 0.0096498645
2.8887939099 0.0096368611 0.0096320671 0.0096446298 0.0096267109 0.0096502527
2.8601919900 0.0096450688 0.0096385530 0.0096545452 0.0096333417 0.0096600010
2.8318732574 0.0096489610 0.0096417307 0.0096588440 0.0096373242 0.0096645061
2.8038349083 0.0096489680 0.0096416254 0.0096591421 0.0096380291 0.0096647474
2.7760741667 0.0096547617 0.0096454866 0.0096660816 0.0096406644 0.0096710219
2.7485882838 0.0096419497 0.0096337728 0.0096516011 0.0096289879 0.0096564978
2.7213745385 0.0096480041 0.0096402831 0.0096561239 0.0096357461 0.0096619993
2.6944302361 0.0096636087 0.0096556807 0.0096714649 0.0096500937 0.0096778693
2.6677527090 0.0096677031 0.0096594583 0.0096759701 0.0096542652 0.0096815752
2.6413393158 0.0096604624 0.0096558459 0.0096654213 0.0096528331 0.0096690994
2.6151874414 0.0096764869 0.0096723325 0.0096817093 0.0096694634 0.0096841908
2.5892944965 0.0096893239 0.0096840295 0.0096949201 0.0096818157 0.0096979015
2.5636579173 0.0096804413 0.0096753648 0.0096857791 0.0096731608 0.0096890476
2.5382751656 0.0096663082 0.0096624498 0.0096715466 0.0096595151 0.0096745499
2.5131437284 0.0096661881 0.0096632441 0.0096698304 0.0096608527 0.0096717489
2.4882611172 0.0096733451 0.0096700309 0.0096762440 0.0096679104 0.0096786569
2.4636248685 0.0096873425 0.0096836156 0.0096906902 0.0096813871 0.0096929713
2.4392325431 0.0097048015 0.0097009300 0.0097086995 0.0096985738 0.0097110878
2.4150817258 0.0097118762 0.0097077548 0.0097154704 0.0097055407 0.0097183286
2.3911700256 0.0097271168 0.0097226542 0.0097309304 0.0097205059 0.0097341638
2.3674950748 0.0097412824 0.0097366963 0.0097453529 0.0097337888 0.0097490759
2.3440545295 0.0097461545 0.0097415009 0.0097504597 0.0097384603 0.0097539501
2.3208460688 0.0097375391 0.0097328247 0.0097417158 0.0097306439 0.0097450170
2.2978673949 0.0097415538 0.0097367628 0.0097456291 0.0097341236 0.0097494234
2.2751162325 0.0097351396 0.0097303827 0.0097392899 0.0097281895 0.0097428908
2.2525903293 0.0097320174 0.0097273101 0.0097362440 0.0097251843 0.0097394736
2.2302874547 0.0097042063 0.0096999188 0.0097081245 0.0096973549 0.0097102593
2.2082054007 0.0097118235 0.0097075453 0.0097156658 0.0097051873 0.0097178018
2.1863419809 0.0096614141 0.0096577748 0.0096652869 0.0096557026 0.0096670281
2.1646950306 0.0096483722 0.0096451122 0.0096522936 0.0096427744 0.0096541518
2.1432624065 0.0096280681 0.0096250811 0.0096318271 0.0096229456 0.0096331478
2.1220419867 0.0096142840 0.0096113445 0.0096174298 0.0096088356 0.0096187174
2.1010316700 0.0096019793 0.0095985785 0.0096049336 0.0095961135 0.0096068864
2.0802293762 0.0095957307 0.0095919670 0.0095989248 0.0095891804 0.0096012356
2.0596330457 0.0095953537 0.0095919652 0.0095994510 0.0095888009 0.0096013766
2.0392406393 0.0095982688 0.0095942918 0.0096027270 0.0095906962 0.0096059055
