0.7500 0.0098084639 0.0002550000
0.8512 0.0099332307 0.0000196200
0.8852 0.0099611419 0.0000174000
0.9192 0.0099592561 0.0000157600
0.9531 0.0099958368 0.0000147600
0.9870 0.0100026547 0.0000135700
1.0210 0.0100450089 0.0000129400
1.0549 0.0098916239 0.0000125000
1.0889 0.0099406104 0.0000122300
1.1229 0.0101054267 0.0000120800
1.1568 0.0101330201 0.0000118600
1.1908 0.0100954963 0.0000118500
1.2247 0.0100087983 0.0000119900
1.2586 0.0099255855 0.0000122000
1.2926 0.0099802758 0.0000124900
1.3265 0.0100429663 0.0000126800
1.3605 0.0101621950 0.0000132000
1.3945 0.0101974872 0.0000135100
1.4284 0.0101262095 0.0000144100
1.4624 0.0100627556 0.0000150300
1.4963 0.0100534294 0.0000150300
1.5302 0.0100110657 0.0000152700
1.5642 0.0099976690 0.0000156700
1.5982 0.0099666598 0.0000164600
1.6321 0.0100724093 0.0000171100
1.6661 0.0101370816 0.0000173100
1.7000 0.0102043472 0.0000176200
1.7339 0.0101673806 0.0000187000
1.7679 0.0101208360 0.0000190100
1.8019 0.0101344033 0.0000197000
1.8358 0.0101370206 0.0000203900
1.8698 0.0101343107 0.0000214200
1.9037 0.0100802082 0.0000228000
1.9377 0.0100413999 0.0000228100
1.9716 0.0101151541 0.0000240000
2.0055 0.0100486550 0.0000245800
2.0395 0.0100161875 0.0000251200
2.0735 0.0099822552 0.0000257100
2.1074 0.0099607287 0.0000262300
2.1414 0.0100171731 0.0000271100
2.1753 0.0100738889 0.0000278900
2.2093 0.0101805644 0.0000289000
2.2432 0.0101662615 0.0000299100
2.2772 0.0102314970 0.0000308400
2.3111 0.0101824114 0.0000325600
2.3451 0.0102326765 0.0000344100
2.3790 0.0102635362 0.0000356100
2.4129 0.0101335881 0.0000369200
2.4469 0.0101492675 0.0000376900
2.4809 0.0100215009 0.0000387400
2.5148 0.0100692046 0.0000407100
2.5488 0.0100890056 0.0000418700
2.5827 0.0102973110 0.0000427500
2.6167 0.0101652776 0.0000439600
2.6506 0.0101944949 0.0000460000
2.6846 0.0100802000 0.0000479800
2.7185 0.0101840152 0.0000489100
2.7525 0.0100661091 0.0000506600
2.7864 0.0101963273 0.0000527700
2.9040 0.0100806590 0.0000174300
2.9715 0.0100873029 0.0000161700
3.0390 0.0100619841 0.0000161400
3.1064 0.0100816115 0.0000167100
3.1738 0.0101926167 0.0000162600
3.2411 0.0102051178 0.0000160600
3.3083 0.0102349895 0.0000162500
3.3754 0.0101466957 0.0000165600
3.4425 0.0101865976 0.0000169200
3.5095 0.0101127483 0.0000172200
3.5765 0.0101658831 0.0000176700
3.6434 0.0101028331 0.0000181000
3.9101 0.0100681202 0.0000202100
3.9765 0.0100426823 0.0000209700
4.0429 0.0099985041 0.0000217000
4.1092 0.0100206922 0.0000225600
4.1754 0.0099968592 0.0000230300
4.2415 0.0100122651 0.0000237700
4.3075 0.0100010962 0.0000249900
4.3734 0.0099917967 0.0000265300
4.4391 0.0099529994 0.0000271600
4.5048 0.0099736704 0.0000292600
4.5704 0.0100711366 0.0000297300
4.6358 0.0099868363 0.0000315800
4.7011 0.0099936354 0.0000325200
4.7663 0.0100356359 0.0000336500
4.8314 0.0100124825 0.0000355100
4.8963 0.0099317632 0.0000360900
4.9611 0.0099342744 0.0000377200
