Nested Sampling Global Log-Evidence           :   -0.684754980529078665E+02  +/-    0.195765754015403581E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.684754980529078665E+02 +/-    0.195765754015403581E+00
Local Log-Evidence   -0.684754980529078665E+02 +/-    0.195765754015403581E+00

Dim No.       Mean        Sigma
   1    0.399208671926965110E+03    0.267114745261694857E+02
   2   -0.224451943642350260E+01    0.240906762092638560E+00
   3   -0.807096434608783220E+01    0.229100808456986149E+01
   4   -0.536546391641889997E+01    0.482561923156356154E+00
   5   -0.223208861925044078E+01    0.134352205527447061E+00
   6   -0.310948636866054215E+02    0.246790227172630861E+01
   7    0.917459932440159109E+00    0.101614452284327960E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.401290308758795675E+03
   2   -0.230528922703864403E+01
   3   -0.885040266574185175E+01
   4   -0.521397831490336294E+01
   5   -0.228275091267560981E+01
   6   -0.304071970931322362E+02
   7    0.917201776141054914E+00

MAP Parameters
Dim No.        Parameter
   1    0.401290308758795675E+03
   2   -0.230528922703864403E+01
   3   -0.885040266574185175E+01
   4   -0.521397831490336294E+01
   5   -0.228275091267560981E+01
   6   -0.304071970931322362E+02
   7    0.917201776141054914E+00
