Nested Sampling Global Log-Evidence           :   -0.350156269470958321E+02  +/-    0.137358280110460557E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.350156269470958321E+02 +/-    0.137358280110460557E+00
Local Log-Evidence   -0.350156269470958321E+02 +/-    0.137358280110460557E+00

Dim No.       Mean        Sigma
   1    0.429199525189446319E+03    0.411581332679010501E+02
   2   -0.178793811056565305E+00    0.788811579658605599E+00
   3   -0.551377244678325940E+00    0.388272975715677537E+00
   4    0.783794449809961602E+01    0.162026480954642160E+01
   5    0.339216709215404055E+01    0.146177032729758793E+01
   6   -0.175136274832603167E+01    0.199249105600364151E+01
   7   -0.827195366787390363E+01    0.351681058078567021E+01
   8    0.906063760418408526E+00    0.196153375247540979E-02
   9   -0.163668995241837489E+01    0.218473334310139844E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.510080558126655205E+03
   2   -0.132799365323837781E+01
   3    0.310798478843716808E-01
   4    0.903321168042405276E+01
   5    0.573021439489197526E+01
   6   -0.876351832136655240E+00
   7   -0.486546447782668956E+01
   8    0.906311605122519293E+00
   9   -0.528680769331119382E+01

MAP Parameters
Dim No.        Parameter
   1    0.510080558126655205E+03
   2   -0.132799365323837781E+01
   3    0.310798478843716808E-01
   4    0.903321168042405276E+01
   5    0.573021439489197526E+01
   6   -0.876351832136655240E+00
   7   -0.486546447782668956E+01
   8    0.906311605122519293E+00
   9   -0.528680769331119382E+01
