Nested Sampling Global Log-Evidence           :   -0.338911011138116294E+02  +/-    0.171934944731616801E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.338911011138116294E+02 +/-    0.171934944731616801E+00
Local Log-Evidence   -0.338911011138116294E+02 +/-    0.171934944731616801E+00

Dim No.       Mean        Sigma
   1    0.450711092782986611E+03    0.386918887641400744E+02
   2   -0.757297663319413328E+01    0.267622156706494696E+01
   3   -0.296102434987753815E+01    0.341953867857449245E+00
   4   -0.613327881700593558E+01    0.422169151320320291E+00
   5   -0.283675263728190474E+01    0.253091999700810810E+00
   6   -0.380089718928777103E+02    0.415827052534259956E+01
   7    0.916315006737471349E+00    0.129308142616257351E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.460715044388001047E+03
   2   -0.110480413345433064E+02
   3   -0.305049082074677713E+01
   4   -0.613486195122103783E+01
   5   -0.296049147752973774E+01
   6   -0.430988655422509908E+02
   7    0.916179236820388820E+00

MAP Parameters
Dim No.        Parameter
   1    0.460715044388001047E+03
   2   -0.110480413345433064E+02
   3   -0.305049082074677713E+01
   4   -0.613486195122103783E+01
   5   -0.296049147752973774E+01
   6   -0.430988655422509908E+02
   7    0.916179236820388820E+00
