Nested Sampling Global Log-Evidence           :    0.804519327920119281E+03  +/-    0.144457098324710792E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence    0.804519327920119281E+03 +/-    0.144457098324710792E+00
Local Log-Evidence    0.804519327920119281E+03 +/-    0.144457098324710792E+00

Dim No.       Mean        Sigma
   1    0.128620710307463014E+04    0.146847065278951249E+03
   2    0.217029612647977466E+01    0.126369019347438383E+00
   3   -0.113138303950396768E+01    0.511066903554762364E+00
   4    0.796261497481133063E+01    0.161487921031050563E+01
   5    0.326244877201156758E+01    0.145392345638965725E+01
   6   -0.212910948971498737E+01    0.202407552352157527E+01
   7   -0.864325618278533092E+01    0.346668569700579043E+01
   8    0.102889618036153130E+01    0.353888168311379623E-02
   9   -0.205888528783487024E+01    0.625592751819946002E+00
  10   -0.146763654845651548E+01    0.748345298224578626E+00
  11    0.167322172892961635E+04    0.184455252640568034E+03
  12   -0.122288307460979140E+01    0.449652152729783150E+00
  13    0.796594213206922674E+01    0.165121810462716145E+01
  14    0.341723730857133123E+01    0.143655513967694204E+01
  15   -0.221093071824479326E+01    0.205601732996712583E+01
  16   -0.930221613267570291E+01    0.331587037790857320E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.119246468352926377E+04
   2    0.210560930023503978E+01
   3   -0.167734385758265736E+01
   4    0.945594595244514657E+01
   5    0.970671590430057574E+00
   6    0.169627471055350476E+00
   7   -0.363357901712824827E+01
   8    0.102354478393058645E+01
   9   -0.140802207991703732E+00
  10   -0.900199761649526753E+00
  11    0.150095366330316347E+04
  12   -0.171355070500562645E+01
  13    0.838805467874934152E+01
  14    0.391894427139012480E+01
  15   -0.766316092360790790E+00
  16   -0.120099667832448453E+02

MAP Parameters
Dim No.        Parameter
   1    0.119246468352926377E+04
   2    0.210560930023503978E+01
   3   -0.167734385758265736E+01
   4    0.945594595244514657E+01
   5    0.970671590430057574E+00
   6    0.169627471055350476E+00
   7   -0.363357901712824827E+01
   8    0.102354478393058645E+01
   9   -0.140802207991703732E+00
  10   -0.900199761649526753E+00
  11    0.150095366330316347E+04
  12   -0.171355070500562645E+01
  13    0.838805467874934152E+01
  14    0.391894427139012480E+01
  15   -0.766316092360790790E+00
  16   -0.120099667832448453E+02
